,id,title,original_language,release_date,popularity,vote_average,vote_count
238,638507,How to Train Your Dragon: Homecoming,en,2019-10-25,42.564,8.1,834
239,893941,Misfit,es,2021-10-14,10.398,8.1,209
240,11645,Ran,ja,1985-06-01,15.933,8.1,1326
241,8392,My Neighbor Totoro,ja,1988-04-16,81.757,8.1,7029
242,447365,Guardians of the Galaxy Vol. 3,en,2023-05-03,1414.586,8.1,4224
243,17663,Anne of Green Gables,en,1985-12-01,16.987,8.1,218
244,147,The 400 Blows,fr,1959-06-03,17.41,8.1,1902
245,42229,A Special Day,it,1977-08-11,11.082,8.1,576
246,437068,A Taxi Driver,ko,2017-08-02,24.28,8.1,814
247,11659,The Best of Youth,it,2003-06-22,12.71,8.1,469
248,678580,El mesero,es,2021-07-15,13.271,8.1,342
249,337404,Cruella,en,2021-05-26,128.599,8.1,8404
250,11423,Memories of Murder,ko,2003-05-02,37.365,8.1,3276
251,785534,Paper Lives,tr,2021-03-12,14.912,8.1,335
252,610461,"Veinteañera, Divorciada y Fantástica",es,2020-02-14,6.417,8.1,373
253,381284,Hidden Figures,en,2016-12-10,107.734,8.1,8855
254,51482,Death Note Relight 1: Visions of a God,ja,2007-08-31,27.383,8.1,259
255,800,The Young and the Damned,es,1950-12-09,11.715,8.1,423
256,7347,Elite Squad,pt,2007-10-12,27.748,8.1,2094
257,663558,New Gods: Nezha Reborn,zh,2021-02-06,30.916,8.1,371
258,1955,The Elephant Man,en,1980-10-09,16.799,8.1,3102
259,55960,"Toto, Peppino, and the Hussy",it,1956-08-23,7.43,8.1,311
260,538362,On My Skin,it,2018-09-12,10.16,8.1,1791
261,120467,The Grand Budapest Hotel,en,2014-02-26,36.509,8.1,13635
262,529531,Hannah Gadsby: Nanette,en,2018-06-19,7.72,8.1,253
263,26022,My Name Is Khan,hi,2010-02-10,24.177,8.1,1180
264,515001,Jojo Rabbit,en,2019-10-18,38.261,8.0,8627
265,780,The Passion of Joan of Arc,fr,1928-04-21,14.746,8.0,802
266,449176,"Love, Simon",en,2018-02-16,21.517,8.0,5711
267,53210,Duck Amuck,en,1953-02-28,7.774,8.0,202
268,526702,Black Beauty,en,2020-11-27,14.527,8.0,307
269,400928,Gifted,en,2017-04-12,58.781,8.0,4921
270,9764,Dersu Uzala,ru,1975-08-02,14.054,8.0,449
271,310569,The Second Mother,pt,2015-06-04,9.63,8.0,664
272,1091,The Thing,en,1982-06-25,68.287,8.0,6136
273,582,The Lives of Others,de,2006-03-15,20.184,8.0,3265
274,106646,The Wolf of Wall Street,en,2013-12-25,102.149,8.0,22002
275,821,Judgment at Nuremberg,en,1961-12-18,14.515,8.0,662
276,279,Amadeus,en,1984-09-19,25.047,8.0,3781
277,264644,Room,en,2015-10-16,19.191,8.0,8612
278,522518,A Dog's Journey,en,2019-05-03,48.514,8.0,1335
279,641,Requiem for a Dream,en,2000-10-06,14.484,8.0,9061
280,615457,Nobody,en,2021-03-18,71.575,8.0,6110
281,339877,Loving Vincent,en,2017-06-22,17.105,8.0,2269
282,5801,Pather Panchali,bn,1955-08-26,21.167,8.0,340
283,115929,Cool Kids Don't Cry,nl,2012-02-15,12.835,8.0,249
284,37793,Ghosts,en,1997-09-04,6.243,8.0,222
285,19426,Nights of Cabiria,it,1957-10-03,12.172,8.0,664
286,282848,Doctor Who: The Time of the Doctor,en,2013-12-25,9.375,8.0,266
287,521,Dial M for Murder,en,1954-05-29,22.809,8.0,2302
288,307,"Rome, Open City",it,1945-10-08,10.066,8.0,772
289,14,American Beauty,en,1999-09-15,32.616,8.0,11154
290,204,The Wages of Fear,fr,1953-04-22,12.617,8.0,780
291,962,The Gold Rush,en,1925-07-12,16.509,8.0,1404
292,673,Harry Potter and the Prisoner of Azkaban,en,2004-05-31,166.297,8.0,19848
293,9277,The Sting,en,1973-12-25,22.002,8.0,2296
294,429210,Bingo: The King of the Mornings,pt,2017-08-24,10.55,8.0,346
295,378108,In This Corner of the World,ja,2016-11-12,15.917,8.0,503
296,12761,Autumn Sonata,sv,1978-10-08,10.74,8.0,495
297,568160,Weathering with You,ja,2019-06-19,43.948,8.0,1933
298,20530,Late Spring,ja,1949-09-13,10.576,8.0,333
299,938,For a Few Dollars More,it,1965-12-18,35.167,8.0,3508
300,15,Citizen Kane,en,1941-04-17,23.405,8.0,4974
301,574074,Kitbull,en,2019-01-18,7.688,8.0,316
302,31439,To Live,zh,1994-05-26,11.688,8.0,255
303,524,Casino,en,1995-11-22,32.353,8.0,5160
304,110416,Song of the Sea,en,2014-09-06,16.187,8.0,1277
305,359724,Ford v Ferrari,en,2019-11-13,55.845,8.0,6817
306,11104,Chungking Express,cn,1994-07-14,31.579,8.0,1487
307,1396,Mirror,ru,1975-03-07,18.563,8.0,820
308,205596,The Imitation Game,en,2014-11-14,52.788,8.0,15827
309,455661,In a Heartbeat,en,2017-06-01,5.5,8.0,957
310,28178,Hachi: A Dog's Tale,en,2009-06-08,41.063,8.0,6193
311,3175,Barry Lyndon,en,1975-11-26,19.438,8.0,2499
312,315465,The Boy and the Beast,ja,2015-07-11,20.419,8.0,1347
313,31217,The Human Condition I: No Greater Love,ja,1959-01-15,11.996,8.0,207
314,28978,The Circus,en,1928-01-06,6.562,8.0,694
315,11778,The Deer Hunter,en,1978-03-09,28.91,8.0,3340
316,595,To Kill a Mockingbird,en,1962-12-20,26.675,8.0,2333
317,554596,No Manches Frida 2,es,2019-03-15,81.963,8.0,801
318,140420,Paperman,en,2012-11-02,12.035,8.0,1610
319,424694,Bohemian Rhapsody,en,2018-10-24,52.485,8.0,15849
320,58007,Poverty and Nobility,it,1954-04-17,7.327,8.0,263
321,28422,Love Exposure,ja,2009-01-31,12.6,8.0,381
322,13223,Gran Torino,en,2008-12-12,32.283,8.0,9905
323,634649,Spider-Man: No Way Home,en,2021-12-15,290.91,8.0,18022
324,3090,The Treasure of the Sierra Madre,en,1948-01-15,21.781,8.0,1045
325,530915,1917,en,2019-12-25,61.132,8.0,11273
326,20453,3 Idiots,hi,2009-12-23,34.801,8.0,2131
327,2517,Nobody Knows,ja,2004-08-07,19.616,8.0,427
328,213,North by Northwest,en,1959-07-08,21.223,8.0,3684
329,714888,"Argentina, 1985",es,2022-09-29,21.502,8.0,491
330,25376,The Secret in Their Eyes,es,2009-08-13,18.869,8.0,2262
331,785084,The Whale,en,2022-12-09,149.324,8.0,2722
332,18438,Castaway on the Moon,ko,2009-05-14,14.137,8.0,605
333,43949,Flipped,en,2010-08-06,25.909,8.0,2629
334,19542,The Red Shoes,en,1948-09-06,11.306,8.0,545
335,14696,Ugetsu,ja,1953-03-26,12.367,8.0,485
336,652722,In the Arms of an Assassin,es,2019-12-06,27.618,8.0,344
337,12104,Pink Floyd: The Wall,en,1982-07-14,16.304,8.0,1336
338,11658,Tae Guk Gi: The Brotherhood of War,ko,2004-02-05,17.96,8.0,590
339,7508,Like Stars on Earth,hi,2007-12-21,18.133,8.0,1020
340,961,The General,en,1926-12-25,11.317,8.0,1067
341,947,Lawrence of Arabia,en,1962-12-11,31.127,8.0,2647
342,488623,Forgotten,ko,2017-11-29,31.581,8.0,899
343,285700,The Fool,ru,2014-08-09,6.626,8.0,237
344,776503,CODA,en,2021-08-11,39.163,8.0,1889
345,76,Before Sunrise,en,1995-01-27,23.255,8.0,3674
346,15383,Army of Shadows,fr,1969-09-10,10.6,8.0,549
347,29264,The Exterminating Angel,es,1962-05-16,10.958,8.0,577
348,770,Gone with the Wind,en,1939-12-15,38.64,8.0,3647
349,550205,Wish Dragon,en,2021-01-15,65.791,8.0,1142
350,482321,Ron's Gone Wrong,en,2021-10-14,54.652,8.0,1622
351,1059,The Hidden Fortress,ja,1958-12-28,17.842,8.0,524
352,24,Kill Bill: Vol. 1,en,2003-10-10,46.809,8.0,16041
353,414419,Kill Bill: The Whole Bloody Affair,en,2011-03-27,22.058,8.0,896
354,862,Toy Story,en,1995-10-30,143.555,8.0,16997
355,640,Catch Me If You Can,en,2002-12-16,65.793,8.0,14230
356,627,Trainspotting,en,1996-02-23,22.532,8.0,8930
357,45752,Scooby-Doo! Camp Scare,en,2010-09-14,24.361,8.0,265
358,38360,The Cranes Are Flying,ru,1957-10-12,12.972,8.0,307
359,426618,Where Hands Touch,en,2018-09-14,17.751,8.0,490
360,38286,Three Men and a Leg,it,1997-12-27,8.147,8.0,1948
361,1580,Rope,en,1948-03-11,18.003,8.0,2359
362,242828,When Marnie Was There,ja,2014-07-19,30.281,8.0,1601
363,20803,Ivan Vasilyevich Changes His Profession,ru,1973-09-17,11.873,8.0,292
364,1578,Raging Bull,en,1980-11-14,21.41,8.0,3818
365,560066,Scooby-Doo! and the Curse of the 13th Ghost,en,2019-02-05,15.518,8.0,226
366,11712,Sanjuro,ja,1962-01-01,12.531,8.0,520
367,10515,Castle in the Sky,ja,1986-08-02,40.899,8.0,3685
368,897,Aparajito,bn,1956-10-11,7.002,8.0,206
369,70,Million Dollar Baby,en,2004-12-15,27.651,8.0,8773
370,1092,The Third Man,en,1949-08-31,16.122,8.0,1631
371,15244,A Man Escaped,fr,1956-11-11,10.899,8.0,449
372,41050,La Notte,it,1961-01-24,11.964,8.0,585
373,23282,One Week,en,1920-08-29,5.523,8.0,228
374,10404,Raise the Red Lantern,zh,1991-12-18,17.146,8.0,617
375,360814,Dangal,hi,2016-12-21,20.363,8.0,852
376,10238,Cries and Whispers,sv,1972-12-21,11.383,8.0,606
377,962232,Beyond the Universe,pt,2022-10-27,35.742,8.0,258
378,237791,The Way He Looks,pt,2014-03-28,11.046,8.0,887
379,522402,Finch,en,2021-11-04,68.107,8.0,3020
380,234,The Cabinet of Dr. Caligari,de,1920-02-27,15.062,8.0,1347
381,110,Three Colors: Red,fr,1994-05-12,22.228,8.0,1201
382,21334,Children of Heaven,fa,1997-08-01,13.941,8.0,532
383,3777,Throne of Blood,ja,1957-01-15,17.613,8.0,713
384,501929,The Mitchells vs. the Machines,en,2021-04-22,36.905,7.9,2535
385,458302,"Remi, Nobody's Boy",fr,2018-12-12,11.926,7.9,383
386,158445,Miracle in Cell No. 7,ko,2013-01-23,16.443,7.9,382
387,315620,Doctor Who: A Christmas Carol,en,2010-12-25,8.48,7.9,210
388,160885,Tel chi el telùn,it,1999-05-12,4.595,7.9,307
389,28971,Limelight,en,1952-10-23,10.792,7.9,456
390,775,A Trip to the Moon,fr,1902-04-17,17.623,7.9,1557
391,149,Akira,ja,1988-07-16,41.572,7.9,3662
392,76203,12 Years a Slave,en,2013-10-18,33.316,7.9,10518
393,14160,Up,en,2009-05-28,96.517,7.9,18703
394,654,On the Waterfront,en,1954-06-22,19.461,7.9,1381
395,11010,The Postman,it,1994-04-07,12.104,7.9,1047
396,405,La Strada,it,1954-09-23,12.676,7.9,930
397,745,The Sixth Sense,en,1999-08-06,55.815,7.9,10646
398,961323,Nimona,en,2023-06-23,192.185,7.9,415
399,5925,The Great Escape,en,1963-07-03,33.135,7.9,2245
400,920394,My Father's Violin,tr,2022-01-21,13.368,7.9,313
401,698201,Tokyo Revengers,ja,2021-07-09,22.869,7.9,214
