name,rating,service,No of employees,Company Age,Location
Artech Infosystems,3.6,1k-5k Employees , 31 years old , 31 years old ,Morristown
Leadec India,3.9,Facility Management Services , 1k-5k Employees , 61 years old ,Stuttgart
Capital Numbers Infotech,4.7,IT Services & Consulting , 501-1k Employees , 11 years old ,Kolkata
Test Yantra Software Solutions,3.5,IT Services & Consulting , 1k-5k Employees , 16 years old ,Bangalore/Bengaluru
More Supermarket,3.8,Retail , 10k-50k Employees , 16 years old ,Mumbai
Kohler,3.9,Furniture & Furnishing , 1k-5k Employees , 150 years old ,Kohler
DAV Public School,4.0,Education & Training , 1 Lakh+ Employees , 137 years old ,Delhi/NCR
Otis Elevator,4.0,Industrial Machinery , 1k-5k Employees , 170 years old ,Farmington
Aspire Systems,3.9,IT Services & Consulting , 1k-5k Employees , 27 years old ,Oak Brook
Medusind Solutions,3.9,IT Services & Consulting , 1k-5k Employees , 21 years old ,Mumbai
Aparna Constructions and Estates,4.1,Real Estate , 1k-5k Employees , 27 years old ,Hyderabad/Secunderabad
Navayuga Engineering Company,4.1,Engineering & Construction , 501-1k Employees , 124 years old ,Hyderabad/Secunderabad
Michelin,4.0,Auto Components , 1k-5k Employees , 14 years old ,Clermont-Ferrand
Bridge & Roof Co,3.6,Engineering & Construction , 1k-5k Employees , 103 years old ,Kolkata
T-SYSTEMS ICT INDIA,4.0,IT Services & Consulting , 1k-5k Employees , 7 years old ,Frankfurt
Allscripts,4.2,IT Services & Consulting , 1k-5k Employees , 41 years old ,Chicago
Sanden Vikas,3.8,Auto Components , 1k-5k Employees , 41 years old ,Faridabad
Carnival Cruise Lines,4.5,Sports & Recreation , 1k-5k Employees , 51 years old ,Miami
IDFC FIRST Bharat,4.2,NBFC , 5k-10k Employees , 7 years old ,Tiruchirappalli
ValueMomentum,3.5,IT Services & Consulting , 1k-5k Employees , 23 years old ,Piscataway
Genpact Headstrong Capital Markets,3.8,IT Services & Consulting , 1k-5k Employees , 25 years old ,New Delhi
SFO Technologies,3.6,Electronics Manufacturing , 1k-5k Employees , 33 years old ,Kochi/Cochin
Musashi Auto Parts,3.9,Auto Components , 1k-5k Employees , 85 years old ,Gurgaon/Gurugram
Webhelp,3.8,BPO , 1k-5k Employees , 23 years old ,Paris
Pacific BPO,3.6,BPO , 1k-5k Employees , 13 years old ,Noida
Pristyn Care,3.6,Healthcare , 1k-5k Employees , 5 years old ,Delhi
Hindustan Sanitaryware & Industries,4.1,Furniture & Furnishing , 1k-5k Employees , 63 years old ,Gurgaon/Gurugram
LEAD School,3.3,EdTech , 1k-5k Employees , 10 years old ,Mumbai
ICA Edu Skills,3.7,Education & Training , 1k-5k Employees , 24 years old ,Kolkata
OCS Group,3.9,Facility Management Services , 10k-50k Employees , 27 years old ,Mumbai
Grant Thornton,3.7,Accounting & Auditing , 5k-10k Employees , 99 years old ,Chicago
GirnarSoft,3.7,IT Services & Consulting , 1k-5k Employees , 16 years old ,Jaipur
OLX,3.9,IT Services & Consulting , 1k-5k Employees , 17 years old ,Gurgaon
Reliance Power,4.2,Power , 1k-5k Employees , 28 years old ,Navi Mumbai
Kalpataru Group,3.8,Real Estate , 1k-5k Employees , 54 years old ,Mumbai
Zoho,4.3,Software Product , 10k-50k Employees , 27 years old ,Chennai
ICCS,3.2,BPO , 501-1k Employees , 18 years old ,Delhi/NCR
Ageas Federal Life Insurance,3.7,Insurance , 501-1k Employees , 15 years old ,Mumbai
Schlumberger,4.2,Oil & Gas , 5k-10k Employees , 97 years old ,Houston
Amazon Services,4.2,Hyderabad/Secunderabad +40 more,,,Hyderabad/Secunderabad
Aditya Birla Finance,3.9,Financial Services , 10k-50k Employees , 11 years old ,Mumbai
Ugam Solution,3.6,IT Services & Consulting , 1k-5k Employees , 23 years old ,Mumbai
NetAmbit,3.4,FinTech , 501-1k Employees , 23 years old ,Noida
Temenos,3.2,IT Services & Consulting , 1k-5k Employees , 30 years old ,Geneva
Defence Research & Development Organisation,4.5,Defence & Aerospace , 10k-50k Employees , 65 years old ,Delhi/NCR
Cult.fit,3.7,Internet , 1k-5k Employees , 7 years old ,Bangalore
Athena BPO,3.2,BPO , 201-500 Employees , 4 years old ,Mumbai
Steag Energy Services,4.2,Power , 1k-5k Employees , 23 years old ,Essen
Capri Global Capital,3.9,NBFC , 1k-5k Employees , 26 years old ,Mumbai
H.G. Infra Engineering,4.3,Engineering & Construction , 1k-5k Employees , 20 years old ,Jaipur
Indiabulls Ventures,3.6,Financial Services , 1k-5k Employees , 28 years old ,Mumbai
Kurlon,4.3,Furniture & Furnishing , 1k-5k Employees , 61 years old ,Bangalore/Bengaluru
L&T Power,3.8,Power , 1k-5k Employees , 17 years old ,Mumbai
Tanishq,4.2,Jewellery , 1 Lakh+ Employees , 29 years old ,Bangalore/Bengaluru
Royal Sundaram General Insurance,3.9,Insurance , 1k-5k Employees , 22 years old ,Chennai
Netscribes,3.0,Analytics & KPO , 1k-5k Employees , 23 years old ,New York
Samsung Research,3.4,Consumer Electronics & Appliances , 1k-5k Employees , 54 years old ,Seocho-gu
J B Chemicals And Pharmaceuticals,3.9,Pharma , 1k-5k Employees , 47 years old ,Mumbai
Tata Starbucks,4.3,Retail , 1k-5k Employees , 52 years old ,Seattle
Lowe's,4.3,Retail , 1k-5k Employees , 77 years old ,Mooresville
Collins Aerospace,4.0,Defence & Aerospace , 1k-5k Employees , 5 years old ,Charlotte
NBC Bearings,3.9,Auto Components , 1-10 Employees , 77 years old ,Jaipur
Velocis Systems,4.0,IT Services & Consulting , 1k-5k Employees , 28 years old ,Noida
SBFC Finance,3.7,Financial Services , 501-1k Employees , 6 years old ,Mumbai
The Lalit,4.0,Hospitality , 1k-5k Employees , 42 years old ,New Delhi
Sheenlac Paints,4.4,Chemicals , 501-1k Employees , 61 years old ,Chennai
Quest Retail Private Limited,4.4,Retail , 501-1k Employees , 18 years old ,Gurgaon/Gurugram
Stanza Living,2.9,Internet , 501-1k Employees , 6 years old ,Delhi
Acuity Knowledge Partners,3.6,Financial Services , 1k-5k Employees , 21 years old ,London
Eveready Industries,4.1,Auto Components , 1k-5k Employees , 89 years old ,Kolkata
Asirvad Microfinance,3.9,NBFC , 5k-10k Employees , 16 years old ,Chennai
Eveready Industries,4.1,Auto Components , 1k-5k Employees , 89 years old ,Kolkata
Tata Consumer Products,3.9,FMCG , 1k-5k Employees , 61 years old ,Mumbai
Flash Electronics,3.5,Electronics Manufacturing , 1k-5k Employees , 34 years old ,Pune
Volvo,4.2,Automobile , 1k-5k Employees , 25 years old ,Gothenburg
NetCracker,3.3,IT Services & Consulting , 1k-5k Employees , 30 years old ,Waltham
Knight Frank,4.2,Real Estate , 501-1k Employees , 127 years old ,London
Crowne Plaza,4.2,Hospitality , 501-1k Employees , 40 years old ,Atlanta
Dunzo,3.5,Internet , 1k-5k Employees , 9 years old ,Bangalore
Lumen Technologies,3.9,Telecom , 1k-5k Employees , 93 years old ,Monroe
Arohan Financial Services,3.9,Financial Services , 5k-10k Employees , 17 years old ,Kolkata
Signify,3.7,Consumer Electronics & Appliances , 1k-5k Employees , 93 years old ,Amsterdam
Bharti Infratel,4.5,Telecom , 1k-5k Employees , 17 years old ,Gurgaon/Gurugram
Shilpa Medicare,3.6,Pharma , 1k-5k Employees , 36 years old ,Raichur
Westside,4.1,Fashion & Textile , 5k-10k Employees , 25 years old ,Mumbai
Hitachi Payment Services,3.9,FinTech , 1k-5k Employees , 15 years old ,Mumbai
Magna Infotech,3.3,Automobile , 1k-5k Employees , 26 years old ,Bangalore
Aparajitha Corporate Services,3.9,Recruitment , 1k-5k Employees , 23 years old ,Madurai
Transsion,4.3,Hardware & Networking , 501-1k Employees , 17 years old ,Shenzhen
bnp paribas india solutions,4.0,Banking , 10k-50k Employees , 175 years old ,Paris
bnp paribas india solutions,4.0,Banking , 10k-50k Employees , 175 years old ,Paris
NoBrokerHOOD,3.5,Software Product , 501-1k Employees , Startup ,Bengaluru/Bangalore
Xebia,3.7,IT Services & Consulting , 1k-5k Employees , 22 years old ,Hilversum
Investors Clinic,3.9,Real Estate , 1k-5k Employees , 14 years old ,Noida
Sagility,4.0,BPO , 10k-50k Employees , 10k-50k Employees ,Bangalore Rural
Trimax IT Infrastructure Services,3.4,IT Services & Consulting , 1k-5k Employees , 28 years old ,Mumbai
Kutumbh Care,4.0,Recruitment , 5k-10k Employees , 16 years old ,Noida
Jaya Hind Industries,3.7,Auto Components , 1k-5k Employees , 76 years old ,Pune
CNH Industrial,4.2,Automobile , 1k-5k Employees , 10 years old ,London
Lumina Datamatics,3.6,IT Services & Consulting , 1k-5k Employees , 48 years old ,Mumbai
First Advantage,3.8,Recruitment , 1k-5k Employees , 20 years old ,Atlanta
GE Healthcare,4.2,Healthcare , 1k-5k Employees , 29 years old ,Chicago
