name,rating,service,No of employees,Company Age,Location
GMR Group,4.1,Engineering & Construction , 5k-10k Employees , 45 years old ,Delhi/NCR
Evalueserve,3.6,IT Services & Consulting , 1k-5k Employees , 23 years old ,Schaffhausen
FirstCry,3.8,Retail , 1k-5k Employees , 13 years old ,Pune
Sanofi,4.4,Pharma , 5k-10k Employees , 19 years old ,Paris
Vfs Global Services,3.8,BPO , 1k-5k Employees , 22 years old ,Mumbai
Iris Software,4.3,IT Services & Consulting , 1k-5k Employees , 32 years old ,Edison
Adani Ports and SEZ,3.9,Real Estate , 1k-5k Employees , 25 years old ,Ahmedabad
Jindal X,3.7,BPO , 501-1k Employees , 25 years old ,New Delhi
Cinépolis,4.2,Retail , 1k-5k Employees , 52 years old ,Morelia
NSE.IT,3.6,IT Services & Consulting , 201-500 Employees , 24 years old ,Mumbai
The Jaypee Group,3.9,Engineering & Construction , 5k-10k Employees , 44 years old ,Noida
Amity University,3.7,Education & Training , 1k-5k Employees , 18 years old ,Noida
Saipem,3.8,Industrial Machinery , 10k-50k Employees (Global) , 66 years old ,San Donato Milanese
Northern Trust Operating Services,4.1,Financial Services , 5k-10k Employees , 18 years old ,Bangalore/Bengaluru
Aye Finance,4.2,FinTech , 1k-5k Employees , 10 years old ,Delhi
Granules India,4.0,Pharma , 1k-5k Employees , 39 years old ,Hyderabad/Secunderabad
Polycab Wires,4.0,Electrical Equipment , 1k-5k Employees , 27 years old ,Mumbai
Spicejet,3.5,Aviation , 5k-10k Employees , 19 years old ,Gurgaon/Gurugram
Ashoka Buildcon,4.1,Engineering & Construction , 1k-5k Employees , 47 years old ,Nasik/Nashik
Indiabulls Consumer Finance,3.9,NBFC , 1k-5k Employees , 29 years old ,Mumbai
KIA MOTORS,3.8,Automobile , 1k-5k Employees , 79 years old ,Seoul
Compass Group Support Services,4.0,Hospitality , 10k-50k Employees , 82 years old ,Chertsey
Altruist Technologies,3.1,Internet , 51-200 Employees , 18 years old ,Chandigarh
Manipal Hospitals,4.2,Healthcare , 5k-10k Employees , 70 years old ,Bangalore/Bengaluru
Godrej Group,4.0,FMCG , 10k-50k Employees , 126 years old ,Mumbai
SYSKA LED Lights,3.2,Consumer Electronics & Appliances , 1k-5k Employees (Global) , 11 years old ,Pune
Videocon d2h,3.9,Internet , 501-1k Employees , 14 years old ,Mumbai
ICICI Home Finance,3.9,NBFC , 1k-5k Employees , 24 years old ,Mumbai
ITD Cementation India,4.2,Engineering & Construction , 1k-5k Employees , 92 years old ,Mumbai
Ab Inbev,3.5,Beverage , 1k-5k Employees , 35 years old ,Leuven
Indoco Remedies,3.7,Pharma , 1k-5k Employees , 76 years old ,Mumbai
Xiaomi,3.8,Consumer Electronics & Appliances , 1k-5k Employees , 13 years old ,Haidian District
Tata Advanced Systems,3.8,Defence & Aerospace , 5k-10k Employees , 16 years old ,Hyderabad/Secunderabad
Broadridge Financial Solutions,4.0,Financial Services , 1k-5k Employees , 16 years old ,New York City
Mondelez International,4.5,Food Processing , 1k-5k Employees , 11 years old ,Greater Chicago Area
Health Care Global Enterprises,4.1,Healthcare , 5k-10k Employees , 34 years old ,Bangalore/Bengaluru
Caterpillar Inc,4.2,Industrial Machinery , 5k-10k Employees , 98 years old ,Deerfield
Infinite Computer Solutions,3.7,IT Services & Consulting , 1k-5k Employees , 22 years old ,Rockville
MiraMed Ajuba,4.0,IT Services & Consulting , 1k-5k Employees , 22 years old ,Chennai
Asahi India Glass,3.9,Auto Components , 1k-5k Employees , 39 years old ,Gurgaon/Gurugram
Steel Strips Wheels,3.8,Auto Components , 1k-5k Employees , 38 years old ,Chandigarh
GlaxoSmithKline Pharmaceuticals,4.1,Pharma , 1k-5k Employees , Fortune India 500 ,Brentford
Heritage Foods,4.0,FMCG , 1k-5k Employees , 31 years old ,Hyderabad/Secunderabad
TCS iON,3.9,IT Services & Consulting , 1k-5k Employees , 12 years old ,Mumbai
Unichem Laboratories,4.0,Pharma , 1k-5k Employees , 79 years old ,Mumbai
Iffco Tokio General Insurance Co.,4.1,Insurance , 1k-5k Employees , 23 years old ,Gurgaon/Gurugram
Synchrony,4.4,Financial Services , 1k-5k Employees , 20 years old ,Stamford
Karma Ayurveda,4.5,Healthcare , 201-500 Employees , 201-500 Employees ,New Delhi
SKF,3.9,Auto Components , 1k-5k Employees , 100 years old ,Gothenburg
Bharat FIH,4.0,5k-10k Employees , Chennai +22 more,5k-10k Employees ,Chennai
AGS Transact Technologies,3.4,BPO , 10k-50k Employees , 21 years old ,Mumbai
EYGBS,3.8,50k-1 Lakh Employees , 5 years old , 5 years old ,Bangalore/Bengaluru
Altisource,3.7,Real Estate , 1k-5k Employees , 16 years old ,Bangalore/Bengaluru
Bisleri,4.2,FMCG , 1k-5k Employees , 58 years old ,Mumbai
Adani Group,3.9,Power , 10k-50k Employees , 35 years old ,Ahmedabad
Best Sellers,4.2,Fashion & Textile , 1k-5k Employees , 48 years old ,Brande
DCM Shriram,4.2,Chemicals , 1k-5k Employees , 33 years old ,Delhi/NCR
Consolidated Contractors,4.5,Engineering & Construction , 1k-5k Employees , 71 years old ,Marousi
DISH TV,3.7,Media & Entertainment , 1k-5k Employees , 20 years old ,Noida
FDC,4.0,Pharma , 1k-5k Employees , 83 years old ,Mumbai
DENSO,4.1,Auto Components , 1k-5k Employees , 76 years old ,Kariya
GE,4.3,Engineering & Construction , 1k-5k Employees , 131 years old ,Boston
IFB,3.7,Consumer Electronics & Appliances , 201-500 Employees , 49 years old ,Kolkata
Pine Labs,3.8,FinTech , 1k-5k Employees , 25 years old ,Noida
Annapurna Finance,4.1,Financial Services , 5k-10k Employees , 14 years old ,Bhubaneswar
Cargill,4.3,Food Processing , 1k-5k Employees , 158 years old ,Wayzata
BVG India,4.0,Facility Management Services , 50k-1 Lakh Employees , 26 years old ,Pune
Punj Lloyd,4.3,Engineering & Construction , 1k-5k Employees , 41 years old ,Gurgaon/Gurugram
Fidelity National Financial,3.8,Financial Services , 1k-5k Employees , 176 years old ,Bangalore Rural
EPAM Systems,3.8,IT Services & Consulting , 1k-5k Employees , 30 years old ,Newtown
HighRadius,3.1,FinTech , 1k-5k Employees , 17 years old ,Houston
Atul,4.0,Chemicals , 1k-5k Employees , 76 years old ,Valsad
Vestas,4.2,Power , 1k-5k Employees , 78 years old ,Aarhus
Devyani International,3.7,Retail , 5k-10k Employees , 32 years old ,Gurgaon/Gurugram
Gannon Dunkerley,3.8,Engineering & Construction , 1k-5k Employees , 99 years old ,Mumbai
Fino Payments Bank,4.1,FinTech , 1k-5k Employees , 17 years old ,Mumbai
Fresenius Kabi,4.2,Healthcare , 1k-5k Employees , 111 years old ,Pune
Serco,4.4,Analytics & KPO , 5k-10k Employees , 35 years old ,Hook
Valeo,4.0,Auto Components , 5k-10k Employees , 100 years old ,Paris
Luminous Power Technologies,4.2,Electrical Equipment , 1k-5k Employees , 35 years old ,Gurgaon/Gurugram
Medhaj Techno Concept,4.4,Management Consulting , 1k-5k Employees , 16 years old ,Lucknow
Shriram Pistons & Rings,4.1,Auto Components , 1k-5k Employees , 60 years old ,Delhi/NCR
Amneal Pharmaceuticals,4.3,Pharma , 1k-5k Employees , 21 years old ,Bridgewater
FastInfo,4.4,EdTech , 501-1k Employees , 4 years old ,Kolkata
Burger King,3.9,Hospitality , 5k-10k Employees , 9 years old ,Miami
Shadowfax Technologies,3.6,Logistics , 1k-5k Employees , 8 years old ,Bangalore
ECIL,4.2,Defence & Aerospace , 501-1k Employees , 56 years old ,Hyderabad/Secunderabad
GAIL,4.4,Oil & Gas , 1k-5k Employees , 39 years old ,Delhi/NCR
TaskUs,3.6,BPO , 1k-5k Employees , 15 years old ,New Braunfels
Newgen Software Technologies,3.5,IT Services & Consulting , 1k-5k Employees , 31 years old ,New Delhi
Johnson Lifts,4.1,Industrial Machinery , 1k-5k Employees , 42 years old ,Chennai
Majorel,4.5,BPO , 201-500 Employees , 4 years old ,Luxembourg
Ola Electric Mobility,3.2,Internet , 1k-5k Employees , 6 years old ,Bangalore
NeoSOFT,3.7,IT Services & Consulting , 1k-5k Employees , 27 years old ,Mumbai
JW Marriott,4.2,Hospitality , 1k-5k Employees , 96 years old ,Bethesda
XcelServ Solutions,4.6,IT Services & Consulting , 501-1k Employees , 12 years old ,Las Vegas
Redcliffe Labs,4.5,Healthcare , 1k-5k Employees , 4 years old ,Gurgaon
Piaggio,3.8,Automobile , 1k-5k Employees , 139 years old ,Pontedera
Nielsen,3.9,IT Services & Consulting , 1k-5k Employees , 100 years old ,New York City
Oil And Natural Gas Corporation,4.4,Oil & Gas , 10k-50k Employees , 67 years old ,Delhi/NCR
NEC,4.5,IT Services & Consulting , 1k-5k Employees , 124 years old ,Noida
Sahara India Pariwar,3.8,Broadcasting , 5k-10k Employees , 45 years old ,Lucknow
PharmEasy,3.7,Internet , 1k-5k Employees , 8 years old ,Mumbai
Petrofac,4.4,Oil & Gas , 1k-5k Employees , 42 years old ,Jermyn Street
Zf Rane Automotive,4.0,Auto Components , 51-200 Employees , 51-200 Employees ,Chennai
iSON Xperiences,3.5,BPO , 5k-10k Employees , 12 years old ,Lagos
Bharat Sanchar Nigam,3.9,Telecom , 50k-1 Lakh Employees , 23 years old ,Delhi/NCR
Vertex Customer Solutions,3.5,IT Services & Consulting , 5k-10k Employees , 13 years old ,Panchkula
SAI Life Sciences,3.8,Pharma , 1k-5k Employees , 24 years old ,Hyderabad
Tenneco,3.8,Auto Components , 1k-5k Employees , 83 years old ,Lake Forest
Tikona Infinet,3.7,Telecom , 1k-5k Employees , 15 years old ,Mumbai
Wheelseye Technology,3.8,Logistics , 11-50 Employees , 6 years old ,Gurgaon
Wind World,3.9,Power , 5k-10k Employees , 29 years old ,Mumbai
Intertek,3.8,Other , 1k-5k Employees , 26 years old ,London
Indegene,3.7,Analytics & KPO , 1k-5k Employees , 25 years old ,Princeton
Volkswagen,4.2,Automobile , 1k-5k Employees , 22 years old ,Mumbai
Paytm Payments Bank,3.8,FinTech , 1k-5k Employees , 7 years old ,Noida
Amara Raja Batteries,4.2,Auto Components , Fortune India 500 , Fortune India 500 ,Tirupati
iQor Global Services,3.6,BPO , 1k-5k Employees , 25 years old ,Saint Petersburg
PNB Housing Finance,3.9,NBFC , 1k-5k Employees , 35 years old ,Delhi/NCR
ManpowerGroup,3.9,Recruitment , 50k-1 Lakh Employees , 26 years old ,New Delhi
Gujarat Fluorochemicals,4.2,Chemicals , 5k-10k Employees , 36 years old ,Noida
Bajaj Motors,3.8,Automobile , 5k-10k Employees , 37 years old ,Gurgaon
LivSpace,3.5,Architecture & Interior Design , 1k-5k Employees , 8 years old ,Bangalore
Spencer's Retail,4.0,Retail , 1k-5k Employees , 160 years old ,Kolkata
TUV SUD,3.9,Other , 1k-5k Employees , 157 years old ,Munich
United Alliance Technology,4.9,IT Services & Consulting , Pune +9 more,IT Services & Consulting ,Pune
Continental Automotive Components,4.3,Auto Components , 5k-10k Employees , 152 years old ,Lower Saxony
Clover Infotech,3.7,IT Services & Consulting , 1k-5k Employees , 29 years old ,Mumbai
Mahindra CIE Automotive,3.7,Auto Components , 1k-5k Employees , 24 years old ,Mumbai
JioMart,3.9,51-200 Employees , Kolkata +207 more,51-200 Employees ,Kolkata
Schindler,3.9,1k-5k Employees , Pune +47 more,1k-5k Employees ,Pune
Jubilant Pharmova,4.1,Pharma , 1k-5k Employees , 45 years old ,Noida
Eaton Corporation,4.0,Power , 5k-10k Employees , 112 years old ,Cleveland
Vibgyor High School,3.8,Education & Training , 1k-5k Employees , 19 years old ,Mumbai
NSH,3.6,Engineering & Construction , 501-1k Employees , 45 years old ,Al Jubail
IndiaFirst Life Insurance,4.2,Insurance , 1k-5k Employees , 14 years old ,Mumbai
Slk Software Services,3.6,IT Services & Consulting , 1k-5k Employees , 23 years old ,Bangalore/Bengaluru
Apco Infratech,3.8,Engineering & Construction , 1k-5k Employees , 31 years old ,Lucknow
Suryoday Small Finance Bank,4.0,Banking , 1k-5k Employees , 15 years old ,Mumbai
Jaquar,4.1,Furniture & Furnishing , 1k-5k Employees , 63 years old ,Gurgaon
Goldman Sachs,3.7,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , 20 years old ,New York
Siemens Gamesa Renewable Energy,4.1,Power , 1k-5k Employees , 47 years old ,Zamudio
Strides Pharma,3.8,Pharma , 201-500 Employees , 33 years old ,Bangalore/Bengaluru
Eureka Outsourcing Solutions,3.1,BPO , 1k-5k Employees , 21 years old ,Thane
Episource,3.8,IT Services & Consulting , 1k-5k Employees , 17 years old ,Gardena
Podar International School,4.3,Education & Training , 5k-10k Employees , 96 years old ,Mumbai
Thyrocare Technologies,3.3,Healthcare , 1k-5k Employees , 27 years old ,Mumbai
Zydus Lifesciences,4.0,Pharma , 10k-50k Employees , 71 years old ,Ahmedabad
Infogain,3.6,IT Services & Consulting , 1k-5k Employees , 33 years old ,Los Gatos
AIIMS,4.2,Healthcare , 5k-10k Employees , 67 years old ,Delhi/NCR
Tata 1mg,3.8,Internet , 1k-5k Employees , 8 years old ,Gurgaon
Sri Chaitanya Educational Institutions,3.8,Education & Training , 51-200 Employees , 37 years old ,Hyderabad/Secunderabad
Sansera Engineering,4.1,Auto Components , 501-1k Employees , 37 years old ,Bangalore/Bengaluru
JSW Cement,4.0,Building Material , 1k-5k Employees , 14 years old ,Mumbai
HARMAN,3.8,Consumer Electronics & Appliances , 5k-10k Employees , 14 years old ,Stamford
Intex Technologies,3.6,Consumer Electronics & Appliances , 1k-5k Employees , 27 years old ,Delhi/NCR
Mando Automotive,3.9,Auto Components , 1k-5k Employees , 17 years old ,Kanchipuram
Atos Global IT Solutions And Services,4.0,IT Services & Consulting , 5k-10k Employees , 23 years old ,Navi Mumbai
Alstom,4.0,Urban Transport , 5k-10k Employees , 95 years old ,Saint-Ouen
Tietoevry,4.2,IT Services & Consulting , 1k-5k Employees , 55 years old ,Helsinki
Adobe,4.2,Software Product , 5k-10k Employees , 26 years old ,San Jose
Sunknowledge Services,4.1,Healthcare , 51-200 Employees , 17 years old ,New York
Coca-Cola Company,4.2,Marketing & Advertising , 201-500 Employees , 137 years old ,Atlanta
Dhoot Transmission,3.6,Power , 201-500 Employees , 25 years old ,Mumbai
QualityKiosk Technologies,3.7,IT Services & Consulting , 1k-5k Employees , 23 years old ,Mumbai
TechnipFMC,3.9,Oil & Gas , 1k-5k Employees , 6 years old ,Paris
TE Connectivity,4.1,Consumer Electronics & Appliances , 501-1k Employees , 82 years old ,Schaffhausen
Godrej Consumer Products,4.2,FMCG , 1k-5k Employees , 22 years old ,Mumbai
Kendriya Vidyalaya Sangathan,4.3,Education & Training , 10k-50k Employees , 60 years old ,Delhi/NCR
Automotive Manufacturers,4.1,Automobile , 1k-5k Employees , 75 years old ,Mumbai
Hinduja Leyland Finance,4.1,FinTech , 1k-5k Employees , 17 years old ,Chennai
Aditya Birla Health Insurance Co,3.9,Insurance , 1k-5k Employees , 8 years old ,Mumbai
Rockman Industries,3.8,Auto Components , 1k-5k Employees , 63 years old ,Delhi/NCR
BGR Energy Systems,3.8,Oil & Gas , 1k-5k Employees , 38 years old ,Nellore
Lemon Tree Hotels,4.1,Hospitality , 1k-5k Employees , 21 years old ,Delhi/NCR
Xyz Company,3.8,Financial Services , 51-200 Employees (Global) , 51-200 Employees (Global) ,Mumbai
Tata AutoComp Systems,4.0,Auto Components , 1k-5k Employees , 25 years old ,Pune
SLK Global Services,3.9,IT Services & Consulting , 51-200 Employees , 23 years old ,Dallas
1point1 Solutions,3.4,BPO , 5k-10k Employees , 15 years old ,Navi Mumbai
Apotex Research,4.4,Pharma , 201-500 Employees , 20 years old ,Brantford
Decathlon,4.0,Retail , 1k-5k Employees , 47 years old ,Lille
RBL FinServe,4.1,Financial Services , 5k-10k Employees , 18 years old ,Mumbai
Spinny,4.0,Internet , 1k-5k Employees , 8 years old ,Gurgaon
Kirloskar Oil Engines,4.1,Industrial Machinery , 1k-5k Employees , 77 years old ,Pune
Vistaar Finance,4.2,Financial Services , 1k-5k Employees , 13 years old ,Bangalore
JK Lakshmi Cement,3.9,Building Material , 1k-5k Employees , 41 years old ,Delhi/NCR
Hatsun Agro Product,4.0,FMCG , 1k-5k Employees , 53 years old ,Chennai
Schaeffler India,4.2,Auto Components , 1k-5k Employees , 77 years old ,Mumbai
Arthur J. Gallagher & Co,3.9,Insurance , 1k-5k Employees , 21 years old ,Pune
Viraj Profiles,3.7,Iron & Steel , 1k-5k Employees , 23 years old ,Mumbai
Apexon,3.4,IT Services & Consulting , 1k-5k Employees , 27 years old ,Santa Clara
Worley,4.0,Engineering & Construction , 1k-5k Employees , 52 years old ,North Sydney
MDIndia Health Insurance TPA,3.9,Insurance , 5k-10k Employees , 23 years old ,Pune
Parexel International,4.1,Healthcare , 1k-5k Employees , 41 years old ,Massachusetts
Onward Technologies Inc,3.3,Software Product , 1k-5k Employees , 32 years old ,Pune
Infinx,3.7,IT Services & Consulting , 1k-5k Employees , 11 years old ,Mumbai
V2 Retail,3.5,Fashion & Textile , 1k-5k Employees , 22 years old ,Delhi/NCR
Aarvee Associates,3.8,Engineering & Construction , 1k-5k Employees , 34 years old ,Hyderabad/Secunderabad
R Systems International,3.5,IT Services & Consulting , 1k-5k Employees , 30 years old ,El Dorado Hills
Ceasefire Industries,3.3,Industrial Machinery , 1k-5k Employees , 21 years old ,Noida
Shriram Life Insurance,3.9,Insurance , 1k-5k Employees , 18 years old ,Hyderabad/Secunderabad
Barbeque Nation,4.0,Retail , 5k-10k Employees , 17 years old ,Bangalore/Bengaluru
Novo Nordisk,4.0,Pharma , 1k-5k Employees , 100 years old ,New York City
PNC Infratech,4.0,Engineering & Construction , 5k-10k Employees , 24 years old ,Delhi/NCR
Power Grid Corporation of India,4.4,Power , 5k-10k Employees , 34 years old ,Gurgaon/Gurugram
Foxconn,4.0,Electronics Manufacturing , 10k-50k Employees , 49 years old ,Taipei
Wistron,3.8,Electronics Manufacturing , 201-500 Employees , 22 years old ,Taipei
Tata Chemicals,4.1,Chemicals , 1k-5k Employees , 85 years old ,Mumbai
Hyundai Mobis,3.8,Auto Components , 1k-5k Employees , 6 years old ,Kanchipuram
Hathway,3.7,Media & Entertainment , 1k-5k Employees , 64 years old ,Mumbai
Feedback Infrastructure Services,3.6,Engineering & Construction , 5k-10k Employees , 33 years old ,Gurgaon/Gurugram
Dana Anand,4.2,Auto Components , 1k-5k Employees , 30 years old ,Delhi/NCR
Dana Anand,4.2,Auto Components , 1k-5k Employees , 30 years old ,Delhi/NCR
Morningstar,4.1,Financial Services , 1k-5k Employees , 39 years old ,Chicago
K12 Techno Services,3.1,EdTech , 1k-5k Employees , 13 years old ,Bangalore/Bengaluru
Shubham Housing Development Finance,4.1,NBFC , 10k-50k Employees , 13 years old ,Gurgaon
Dixon Technologies,4.0,Consumer Electronics & Appliances , 1k-5k Employees , 30 years old ,Noida
Shalby Hospitals,4.7,Healthcare , 1k-5k Employees , 29 years old ,Ahmedabad
Godrej Properties,3.7,Real Estate , 1k-5k Employees , 33 years old ,Mumbai
Spandana Sphoorty Financial,3.6,NBFC , 10k-50k Employees , 25 years old ,Hyderabad/Secunderabad
VMware Software,4.3,Software Product , 5k-10k Employees , 25 years old ,Palo Alto
Bosch Chassis Systems,4.2,Auto Components , 1k-5k Employees , 72 years old ,Gerlingen
OM Logistics,4.1,Logistics , 1k-5k Employees , 24 years old ,Delhi/NCR
Canara Bank,3.4,Banking , 50k-1 Lakh Employees , 117 years old ,Bangalore/Bengaluru
Altimetrik,3.9,IT Services & Consulting , 1k-5k Employees , 11 years old ,Southfield
Unicharm,4.2,Beauty & Personal Care , 1k-5k Employees , 62 years old ,Mita
The Ramco Cements,4.3,Building Material , 1k-5k Employees , 62 years old ,Chennai
Sundaram Clayton,4.0,Auto Components , 1k-5k Employees , 61 years old ,Chennai
Ion Exchange India,3.8,Waste Management , 1k-5k Employees , 59 years old ,Mumbai
Edelweiss Tokio Life Insurance,3.9,Financial Services , 1k-5k Employees , 12 years old ,Mumbai
Urban Company,3.6,Internet , 1k-5k Employees , 8 years old ,Gurgaon
Kirloskar Brothers,4.0,Industrial Machinery , 1k-5k Employees , 135 years old ,Pune
Hindustan Zinc,3.9,Metals & Mining , 1k-5k Employees , 57 years old ,Udaipur
Sonata Software,3.9,IT Services & Consulting , 1k-5k Employees , 37 years old ,Bangalore/Bengaluru
Toppr,3.5,EdTech , 1k-5k Employees , 10 years old ,Mumbai
Barclays Global Service Centre,4.2,IT Services & Consulting , 201-500 Employees , 16 years old ,Pune
Next Education India,3.7,EdTech , 1k-5k Employees , 16 years old ,Hyderabad/Secunderabad
Capacit'e Infraprojects,3.6,Engineering & Construction , 501-1k Employees , 11 years old ,Mumbai
Nilkamal,3.9,Furniture & Furnishing , 1k-5k Employees , 42 years old ,Mumbai
