,Name,Rating,Cuisine,Avg Rate,Area,Zone
543,Opulence Cafe Time,," Fast Food, Pizza",₹ 700 for 2 (approx) ,Gokulpeth, West Nagpur
544,Haldiram's Planet Food,," North Indian, Continental, South Indian, Chinese, Desserts",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
545,Baskin Robbins,, Desserts,₹ 400 for 2 (approx) ,Dharampeth, West Nagpur
546,Mocha Sky,4.3," Fast Food, North Indian","₹ 1,600 for 2 (approx) ",Wardha Road, South Nagpur
547,Fuel Station Cafe & Restro,," Chinese, Fast Food, Pizza","₹ 1,000 for 2 (approx) ",Dharampeth, West Nagpur
548,CHAKNA KITCHEN,, North Indian,₹ 400 for 2 (approx) ,Bajaj Nagar, West Nagpur
549,The Common Ground - Coffee Bar,," Chinese, North Indian, Fast Food, Mughlai","₹ 1,000 for 2 (approx) ",Bajaj Nagar, West Nagpur
550,Al Zam Zam,, North Indian,₹ 700 for 2 (approx) ,Lakadganj, East Nagpur
551,The Kathi Crossing,," North Indian, Fast Food",₹ 400 for 2 (approx) ,Sadar, West Nagpur
552,Fusion,," Chinese, Continental, North Indian",₹ 600 for 2 (approx) ,Lakadganj, East Nagpur
553,Mizaaj Mughlai Restaurant,2," North Indian, Chinese, Mughlai",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
554,Villa 55,," North Indian, Italian, Fast Food, Desserts",₹ 600 for 2 (approx) ,Gokulpeth, West Nagpur
555,The Kathi Crossing,, Fast Food,₹ 600 for 2 (approx) ,Civil Lines, West Nagpur
556,Shahi Handi,," North Indian, Chinese, Mughlai, Seafood",₹ 500 for 2 (approx) ,Gokulpeth, West Nagpur
557,Arabian Taj,," North Indian, Chinese, Mughlai, Biryani",₹ 900 for 2 (approx) ,pachpaoli, East Nagpur
558,The Health cafe,, Fast Food,₹ 200 for 2 (approx) ,Gokulpeth, West Nagpur
559,The Crave Factory,, Fast Food,₹ 500 for 2 (approx) ,pachpaoli, East Nagpur
560,Mumbai Vada Pav,," Fast Food, Street Food",₹ 300 for 2 (approx) ,Nandanvan, East Nagpur
561,New Grand Restaurant And Bar,1," North Indian, Chinese","₹ 1,600 for 2 (approx) ",Pratap Nagar, South Nagpur
562,Heena Bar & Restaurant,, North Indian,₹ 800 for 2 (approx) ,Nandanvan, East Nagpur
563,Pappe-Da,, North Indian,"₹ 1,000 for 2 (approx) ",Lakadganj, East Nagpur
564,Rsvp Restrobar & Rooftop,3.5," Mughlai, North Indian, Continental, Fast Food",₹ 800 for 2 (approx) ,Hingna T Point, South Nagpur
565,SuCasa,, North Indian,₹ 400 for 2 (approx) ,Gokulpeth, West Nagpur
566,Cream Bell,, Desserts,₹ 200 for 2 (approx) ,pachpaoli, East Nagpur
567,Tauby's,," Desserts, Fast Food",₹ 500 for 2 (approx) ,Bajaj Nagar, West Nagpur
568,Usalad And Greens,, Health Food,₹ 300 for 2 (approx) ,Sadar, West Nagpur
569,Owl Night Cafe,, Fast Food,₹ 400 for 2 (approx) ,Nandanvan, East Nagpur
570,Regenta Central - Deja Brew,," Fast Food, North Indian",₹ 600 for 2 (approx) ,Nandanvan, East Nagpur
571,Cake's Inn,, Desserts,₹ 300 for 2 (approx) ,Bajaj Nagar, West Nagpur
572,Bro's Cafe,, Fast Food,₹ 500 for 2 (approx) ,Jaripatka, North Nagpur
573,Subway,," Fast Food, Health Food, Beverages",₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
574,Domino's Pizza,," Pizza, Fast Food",₹ 500 for 2 (approx) ,Ayodhya Nagar, South Nagpur
575,Cheesino's,, Fast Food,₹ 500 for 2 (approx) ,Dharampeth, West Nagpur
576,Sagar Restaurant,5," North Indian, Chinese, Seafood","₹ 1,100 for 2 (approx) ",Mankapur, North Nagpur
577,Casino Family Restaurant,," Chinese, North Indian",₹ 800 for 2 (approx) ,Ravi Nagar, West Nagpur
578,Dalchini Curries and More,," North Indian, Maharashtrian",₹ 800 for 2 (approx) ,Bajaj Nagar, West Nagpur
579,Assal Varhadi,, North Indian,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
580,Hotel Surahi Bar,, North Indian,"₹ 1,200 for 2 (approx) ",Nandanvan, East Nagpur
581,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Ayodhya Nagar, South Nagpur
582,Quantity King,," Chinese, North Indian, Fast Food",₹ 700 for 2 (approx) ,Bajaj Nagar, West Nagpur
583,Cafe Coffee Day,," Beverages, Fast Food",₹ 700 for 2 (approx) ,"Hotel Ashok,Bajaj Nagar", West Nagpur
584,MO's Family Restaurant,," Chinese, North Indian",₹ 600 for 2 (approx) ,Bajaj Nagar, West Nagpur
585,Goli Vada Pav,, Street Food,₹ 200 for 2 (approx) ,Nandanvan, East Nagpur
586,Chill House Cafe,, Fast Food,₹ 400 for 2 (approx) ,Ayodhya Nagar, South Nagpur
587,The Hungry Heads,, Fast Food,₹ 300 for 2 (approx) ,pachpaoli, East Nagpur
588,Cafe Coffee Day,1.3," Beverages, Fast Food",₹ 700 for 2 (approx) ,Gayatri Nagar, South Nagpur
